Alter,Einkommen,Preis,Geschlecht,Zeit,KundeNr,Ausreißer,Kunde,Niederlassung
30,39919.0953348874,0.0,0,29.0,K1814,False,0,Bayern
41,53430.67308587748,0.0,0,27.0,K1544,False,0,Baden-Württemberg
64,73163.2169267002,0.0,0,32.0,K1945,False,0,Baden-Württemberg
41,36761.482581315344,0.0,0,44.0,K1825,False,0,Baden-Württemberg
35,42684.33163178136,0.0,1,33.0,K1144,False,0,Nordrhein-Westfalen
67,63881.03417512037,0.0,1,27.0,K1395,False,0,Berlin
46,68885.01956818235,0.0,0,59.0,K1405,False,0,Nordrhein-Westfalen
63,63083.28870522346,0.0,0,40.0,K1438,False,0,Niedersachsen
30,55256.4530467888,0.0,1,31.0,K1313,False,0,Baden-Württemberg
32,44873.24457091626,0.0,0,44.0,K1241,False,0,Sachsen
66,75200.53464199259,0.0,0,35.0,K1242,False,0,Berlin
61,59560.06177988721,0.0,0,37.0,K1801,False,0,Nordrhein-Westfalen
66,90643.13302647206,0.0,1,25.0,K1590,False,0,Baden-Württemberg
68,80553.39340496145,0.0,0,56.0,K1349,False,0,Baden-Württemberg
39,42543.25204627491,0.0,1,30.0,K1449,False,0,Hessen
40,33126.11045648739,0.0,0,34.0,K1958,False,0,Baden-Württemberg
44,62175.95917026976,0.0,1,33.0,K1726,False,0,Berlin
49,51900.08248154316,0.0,0,40.0,K1758,False,0,Bayern
48,59967.31328247114,0.0,1,21.0,K1991,False,0,Hessen
36,33884.96632098324,0.0,0,49.0,K1215,False,0,Bayern
66,67587.20954156849,0.0,1,37.0,K1399,False,0,Nordrhein-Westfalen
31,38844.33511086199,0.0,1,21.0,K1552,False,0,Berlin
61,66782.63479749944,0.0,0,25.0,K1297,False,0,Nordrhein-Westfalen
40,54891.4467910973,0.0,0,46.0,K1787,False,0,Baden-Württemberg
49,59388.51974583303,0.0,0,21.0,K1643,False,0,Baden-Württemberg
62,92892.64417436426,0.0,0,14.0,K1924,False,0,Nordrhein-Westfalen
36,36252.28123171101,0.0,1,46.0,K1135,False,0,Hamburg
45,54233.58902280894,0.0,1,37.0,K1778,False,0,Niedersachsen
64,84876.30328321343,0.0,0,34.0,K1168,False,0,Baden-Württemberg
50,60708.22607800983,0.0,0,44.0,K1501,False,0,Hessen
45,54500.5391380709,0.0,0,30.0,K1982,False,0,Hamburg
31,34101.76397312862,0.0,1,46.0,K1246,False,0,Bayern
50,55260.84751553851,0.0,0,46.0,K1898,False,0,Brandenburg
52,71014.31038644777,0.0,1,21.0,K1340,False,0,Bayern
34,53036.01128400799,0.0,0,46.0,K1309,False,0,Bayern
67,79728.1351072828,0.0,1,22.0,K1725,False,0,Thüringen
31,26637.981443696044,0.0,1,30.0,K1128,False,0,Niedersachsen
38,48808.07114016616,0.0,1,54.0,K1303,False,0,Baden-Württemberg
46,61964.35164914425,0.0,0,57.0,K1947,False,0,Bayern
31,27594.39325353453,0.0,0,49.0,K1844,False,0,Bayern
68,83333.56782765305,0.0,1,33.0,K1225,False,0,Bayern
48,54207.38981037917,0.0,0,45.0,K1582,False,0,Nordrhein-Westfalen
40,65585.39007498826,0.0,0,43.0,K1942,False,0,Bayern
37,39421.70983093856,0.0,1,38.0,K1895,False,0,Berlin
69,108569.08702065004,0.0,1,47.0,K1467,False,0,Nordrhein-Westfalen
69,91624.99730636716,0.0,1,21.0,K1191,False,0,Niedersachsen
43,67392.46312717693,0.0,0,45.0,K1172,False,0,Nordrhein-Westfalen
52,68557.64272708262,0.0,0,27.0,K1455,False,0,Sachsen
37,51083.82595578743,0.0,0,41.0,K1315,False,0,Baden-Württemberg
51,52205.09243795647,0.0,0,42.0,K1764,False,0,Baden-Württemberg
68,96580.0635011618,0.0,0,30.0,K1553,False,0,Nordrhein-Westfalen
63,80825.88321852202,0.0,1,50.0,K1925,False,0,Berlin
63,56999.12653841968,0.0,1,50.0,K1465,False,0,Berlin
66,64794.72727631589,0.0,1,35.0,K1907,False,0,Berlin
50,75601.52855545645,0.0,0,31.0,K1385,False,0,Thüringen
35,32469.35249836007,0.0,1,24.0,K1690,False,0,Bayern
53,51711.710837452105,0.0,1,37.0,K1175,False,0,Baden-Württemberg
62,75231.17792161655,0.0,1,44.0,K1404,False,0,Baden-Württemberg
39,37428.11758655559,0.0,1,37.0,K1316,False,0,Niedersachsen
53,75785.76768077022,0.0,0,49.0,K1149,False,0,Bayern
39,30485.188253072083,0.0,1,44.0,K1513,False,0,Hamburg
60,70853.5645440371,0.0,1,30.0,K1551,False,0,Baden-Württemberg
41,57516.90250700793,0.0,1,39.0,K1531,False,0,Berlin
37,66419.24826812533,0.0,1,28.0,K1273,False,0,Thüringen
45,62279.13133366568,0.0,1,27.0,K1301,False,0,Baden-Württemberg
52,70297.21359638925,0.0,0,51.0,K1877,False,0,Nordrhein-Westfalen
37,65034.99740020256,0.0,1,44.0,K1177,False,0,Niedersachsen
36,41668.05410643508,0.0,0,40.0,K1527,False,0,Bayern
43,49480.57828968764,0.0,1,23.0,K1637,False,0,Baden-Württemberg
54,56292.71084855829,0.0,1,36.0,K1696,False,0,Hamburg
67,78307.64635377112,0.0,0,35.0,K1417,False,0,Hamburg
37,43614.88262792917,0.0,1,34.0,K1416,False,0,Bayern
49,76602.7888395788,0.0,1,19.0,K1994,False,0,Berlin
42,58051.95657742942,0.0,0,25.0,K1940,False,0,Baden-Württemberg
46,51857.86016658747,0.0,1,44.0,K1938,False,0,Nordrhein-Westfalen
68,79291.161811527,0.0,0,36.0,K1710,False,0,Nordrhein-Westfalen
70,76105.63448490306,0.0,0,25.0,K1872,False,0,Hessen
58,68691.18132399686,0.0,1,37.0,K1644,False,0,Nordrhein-Westfalen
43,48849.87079024495,0.0,0,36.0,K1462,False,0,Brandenburg
65,92223.18914804253,0.0,1,41.0,K1359,False,0,Baden-Württemberg
69,85613.26171212798,0.0,1,28.0,K1371,False,0,Hessen
47,53430.97175074282,0.0,1,30.0,K1171,False,0,Berlin
41,34560.061178587945,0.0,0,34.0,K1424,False,0,Baden-Württemberg
38,46846.64631106874,0.0,0,46.0,K1883,False,0,Baden-Württemberg
44,53482.31220036104,0.0,1,33.0,K1279,False,0,Bayern
35,29395.6414486515,0.0,1,28.0,K1598,False,0,Baden-Württemberg
40,68282.04611732642,0.0,1,15.0,K1320,False,0,Hamburg
45,66573.48650260495,0.0,0,52.0,K1414,False,0,Nordrhein-Westfalen
39,44825.252298298255,0.0,0,45.0,K1927,False,0,Baden-Württemberg
38,40638.12381960798,0.0,1,46.0,K1355,False,0,Baden-Württemberg
